公司,标题,价格,销量,星级,地址,链接,当前链接,上级链接,下载时间
义乌市少庭制尺有限公司,,"
 ¥0.06
 ",147万,6年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
广州祥达生物科技有限公司,,"
 ¥0.60
 ",48.7万,2年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
东光县玉华塑料厂,,"
 ¥0.02
 ",22.0万,7年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
温县七星鞋业有限公司,,"
 ¥4.60
 ",61.9万,10年,河南温县,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
深圳市越昌科技有限公司,,"
 ¥0.95
 ",18.5万,5年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
苍南县龙港信义制袋厂,,"
 ¥0.58
 ",2.01万,1年,浙江温州市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
惠东县大岭镇佳宁鞋厂,,"
 ¥33.00
 ",66.6万,4年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
金华市康婴宝母婴用品有限公司,,"
 ¥4.30
 ",7.78万,2年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
温岭市联树工艺鞋厂,,"
 ¥17.00
 ",48.4万,2年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
义乌市浩发电子商务商行,,"
 ¥4.50
 ",9.03万,1年,浙江金华市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
武安市虎行天下服装有限公司,,"
 ¥0.85
 ",4.04万,5年,浙江义乌市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
泉州市汉蒂鞋业有限公司,,"
 ¥59.00
 ",71.2万,1年,福建晋江市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
偃师市山化镇东屯村步龙轩鞋厂,,"
 ¥9.80
 ",11.2万,3年,河南偃师市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
阳江市江城区嘉美惠五金塑胶厂,,"
 ¥4.20
 ",14.3万,7年,广东阳江市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
惠东县大岭镇佳宁鞋厂,,"
 ¥35.00
 ",24.1万,4年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
河南老马哥电子商务有限公司,,"
 ¥8.50
 ",6.67万,2年,河南洛阳市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
台州市黄岩森辉鞋厂,,"
 ¥33.00
 ",28.8万,1年,浙江温岭市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
